ts,crawl_done,index_done
2025-05-07T23:16:20.647488,0,0
2025-05-07T23:16:21.928407,0,0
2025-05-07T23:16:22.649559,0,0
2025-05-07T23:16:23.930778,0,0
2025-05-07T23:16:24.652026,0,0
2025-05-07T23:16:25.933063,0,0
2025-05-07T23:16:26.654714,0,0
2025-05-07T23:16:27.935436,0,0
2025-05-07T23:16:28.657790,0,0
2025-05-07T23:16:29.938172,0,0
2025-05-07T23:16:30.660588,0,0
2025-05-07T23:16:31.941021,0,0
2025-05-07T23:16:32.663020,0,0
2025-05-07T23:16:33.943147,0,0
2025-05-07T23:16:34.666215,0,0
2025-05-07T23:16:35.945921,0,0
2025-05-07T23:16:36.669076,0,0
2025-05-07T23:16:37.945701,0,0
2025-05-07T23:16:38.670617,0,0
2025-05-07T23:16:39.947870,0,0
2025-05-07T23:16:40.672843,0,0
2025-05-07T23:16:41.950810,0,0
2025-05-07T23:16:42.674693,0,0
2025-05-07T23:16:43.953199,0,0
2025-05-07T23:16:44.677745,0,0
2025-05-07T23:16:45.955774,0,0
2025-05-07T23:16:46.680440,0,0
2025-05-07T23:16:47.958556,0,0
2025-05-07T23:16:48.683393,0,0
2025-05-07T23:16:49.960529,0,0
2025-05-07T23:16:50.686321,0,0
2025-05-07T23:16:51.963263,0,0
2025-05-07T23:16:52.688614,0,0
2025-05-07T23:16:53.965682,0,0
2025-05-07T23:16:54.691692,0,0
2025-05-07T23:16:55.968750,0,0
2025-05-07T23:16:56.694580,0,0
2025-05-07T23:16:57.970946,0,0
2025-05-07T23:16:58.697205,0,0
2025-05-07T23:16:59.973746,0,0
2025-05-07T23:17:00.700364,0,0
2025-05-07T23:17:01.976117,0,0
2025-05-07T23:17:02.701829,0,0
2025-05-07T23:17:03.978506,0,0
2025-05-07T23:17:04.705703,0,0
2025-05-07T23:17:05.981387,0,0
2025-05-07T23:17:06.706662,0,0
2025-05-07T23:17:07.982609,0,0
2025-05-07T23:17:08.710217,0,0
2025-05-07T23:17:09.984958,0,0
2025-05-07T23:17:10.713426,0,0
2025-05-07T23:17:11.988080,0,0
2025-05-07T23:17:12.716076,0,0
2025-05-07T23:17:13.990098,0,0
2025-05-07T23:17:14.719767,0,0
2025-05-07T23:17:15.994261,0,0
2025-05-07T23:17:16.722391,0,0
2025-05-07T23:17:17.997131,0,0
2025-05-07T23:17:18.724975,0,0
2025-05-07T23:17:20.000365,0,0
2025-05-07T23:17:20.728009,0,0
2025-05-07T23:17:22.003481,0,0
2025-05-07T23:17:22.730458,0,0
2025-05-07T23:17:24.006374,0,0
2025-05-07T23:17:24.732859,0,0
2025-05-07T23:17:26.009541,0,0
2025-05-07T23:17:26.735705,0,0
2025-05-07T23:17:28.012430,0,0
2025-05-07T23:17:28.739231,0,0
2025-05-07T23:17:30.015730,0,0
2025-05-07T23:17:30.742205,0,0
2025-05-07T23:17:32.018406,0,0
2025-05-07T23:17:32.744722,0,0
2025-05-07T23:17:34.022010,0,0
2025-05-07T23:17:34.747907,0,0
2025-05-07T23:17:36.024430,0,0
2025-05-07T23:17:36.748415,0,0
2025-05-07T23:17:38.024695,0,0
2025-05-07T23:17:38.751408,0,0
2025-05-07T23:17:40.028056,0,0
2025-05-07T23:17:40.753571,0,0
2025-05-07T23:17:42.030789,0,0
2025-05-07T23:17:42.755228,0,0
2025-05-07T23:17:44.033070,0,0
2025-05-07T23:17:44.758197,0,0
2025-05-07T23:17:46.035737,0,0
2025-05-07T23:17:46.761060,0,0
2025-05-07T23:17:48.038805,0,0
2025-05-07T23:17:48.764297,0,0
2025-05-07T23:17:50.041550,0,0
2025-05-07T23:17:50.767481,0,0
2025-05-07T23:17:52.043808,0,0
2025-05-07T23:17:52.770016,0,0
2025-05-07T23:17:54.046845,0,0
2025-05-07T23:17:54.772824,0,0
2025-05-07T23:17:56.051224,0,0
2025-05-07T23:17:56.775637,0,0
2025-05-07T23:17:58.054394,0,0
2025-05-07T23:17:58.778258,0,0
2025-05-07T23:18:00.057086,0,0
2025-05-07T23:18:00.780022,0,0
2025-05-07T23:18:02.059388,0,0
2025-05-07T23:18:02.782023,0,0
2025-05-07T23:18:04.061916,0,0
2025-05-07T23:18:04.784380,0,0
2025-05-07T23:18:06.064998,0,0
2025-05-07T23:18:06.787387,0,0
2025-05-07T23:18:08.066736,0,0
2025-05-07T23:18:08.789662,0,0
2025-05-07T23:18:10.069063,0,0
2025-05-07T23:18:10.792213,0,0
2025-05-07T23:18:12.071857,0,0
2025-05-07T23:18:12.794768,0,0
2025-05-07T23:18:14.074935,0,0
2025-05-07T23:18:14.797275,0,0
2025-05-07T23:18:16.078168,0,0
2025-05-07T23:18:16.799882,0,0
2025-05-07T23:18:18.080837,0,0
2025-05-07T23:18:18.802227,0,0
2025-05-07T23:18:20.083762,0,0
2025-05-07T23:18:20.804262,0,0
2025-05-07T23:18:22.086074,0,0
2025-05-07T23:18:22.805988,0,0
2025-05-07T23:18:24.088044,0,0
2025-05-07T23:18:24.808340,0,0
2025-05-07T23:18:26.091537,0,0
2025-05-07T23:18:26.809927,0,0
2025-05-07T23:18:28.094074,0,0
2025-05-07T23:18:28.811791,0,0
2025-05-07T23:18:30.096283,0,0
2025-05-07T23:18:30.813467,0,0
2025-05-07T23:18:32.099436,0,0
2025-05-07T23:18:32.815856,0,0
2025-05-07T23:18:34.101776,0,0
2025-05-07T23:18:34.818513,0,0
2025-05-07T23:18:36.104732,0,0
2025-05-07T23:18:31.327647,0,0
2025-05-07T23:18:32.614890,0,0
2025-05-07T23:18:33.330072,0,0
2025-05-07T23:18:34.617905,0,0
2025-05-07T23:18:35.333296,0,0
2025-05-07T23:18:36.621560,0,0
2025-05-07T23:18:37.335760,0,0
2025-05-07T23:18:38.623176,0,0
2025-05-07T23:18:39.338395,0,0
2025-05-07T23:18:40.625757,0,0
2025-05-07T23:18:41.341237,0,0
2025-05-07T23:18:42.627566,0,0
2025-05-07T23:18:43.343986,0,0
2025-05-07T23:18:44.629989,0,0
2025-05-07T23:18:45.347018,0,0
2025-05-07T23:18:46.632751,0,0
2025-05-07T23:18:47.349381,0,0
2025-05-07T23:18:48.634771,0,0
2025-05-07T23:18:49.352377,0,0
2025-05-07T23:18:50.636754,0,0
2025-05-07T23:18:51.355548,0,0
2025-05-07T23:18:52.638228,0,0
2025-05-07T23:18:53.358348,0,0
2025-05-07T23:18:54.640496,0,0
2025-05-07T23:18:55.361567,0,0
2025-05-07T23:18:56.642744,0,0
2025-05-07T23:18:57.363698,0,0
2025-05-07T23:18:58.644909,0,0
2025-05-07T23:18:59.366993,0,0
2025-05-07T23:19:00.646710,0,0
2025-05-07T23:19:01.367756,0,0
2025-05-07T23:19:02.647139,0,0
2025-05-07T23:19:03.371006,0,0
2025-05-07T23:19:04.649699,0,0
2025-05-07T23:19:05.374008,0,0
2025-05-07T23:19:06.652517,0,0
2025-05-07T23:19:07.376536,0,0
2025-05-07T23:19:08.654589,0,0
2025-05-07T23:19:09.379404,0,0
2025-05-07T23:19:10.657083,0,0
2025-05-07T23:19:11.382521,0,0
2025-05-07T23:19:12.659500,0,0
2025-05-07T23:19:13.384809,0,0
2025-05-07T23:19:14.661599,0,0
2025-05-07T23:19:15.387109,0,0
2025-05-07T23:19:16.664264,0,0
2025-05-07T23:19:17.389192,0,0
2025-05-07T23:19:18.666208,0,0
2025-05-07T23:19:19.392132,0,0
2025-05-07T23:19:20.667696,0,0
2025-05-07T23:19:21.395306,0,0
2025-05-07T23:19:22.669967,0,0
2025-05-07T23:19:23.398269,0,0
2025-05-07T23:19:24.672498,0,0
2025-05-07T23:19:25.401186,0,0
2025-05-07T23:19:26.674881,0,0
2025-05-07T23:19:27.403621,0,0
2025-05-07T23:19:28.677079,0,0
2025-05-07T23:19:29.407195,0,0
2025-05-07T23:19:30.679177,0,0
2025-05-07T23:19:31.407504,0,0
2025-05-07T23:19:32.679135,0,0
2025-05-07T23:19:33.410574,0,0
2025-05-07T23:19:34.680700,0,0
2025-05-07T23:19:35.413217,0,0
2025-05-07T23:19:36.682476,0,0
2025-05-07T23:19:37.415543,0,0
2025-05-07T23:19:38.685107,0,0
2025-05-07T23:19:39.418377,0,0
2025-05-07T23:19:40.688815,0,0
2025-05-07T23:19:41.421373,0,0
2025-05-07T23:19:42.691838,0,0
